ユーザー名,表示名,業種,備考
"nikoh_refre","ニコーリフレ SAPPORO","サウナ・温浴施設","HP: https://www.nikoh.info"
"kitakobushi_shiretoko","北こぶし知床 ホテル&リゾート","サウナ・温浴施設","HP: https://www.shiretoko.co.jp/"
"hokkaido_hotel","森のスパリゾート 北海道ホテル","サウナ・温浴施設","HP: https://www.hokkaidohotel.co.jp/stay/hotspring.html"
"shikanoyu.jozankei","定山渓 鹿の湯","サウナ・温浴施設","HP: https://shikanoyu.co.jp/shikanoyu/"
"sauna_ikitai","GARDENS CABIN (ガーデンズキャビン)","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/6182"
"omo_hotels","OMO7旭川(おも) by 星野リゾート サウナプラトー","サウナ・温浴施設","HP: https://omo-hotels.com/asahikawa/facilities/spa/"
"lh_maplelodge","ログホテル  ザ  メープルロッジ","サウナ・温浴施設","HP: http://www.maplelodge.or.jp/"
"toyakomanseikaku","洞爺湖万世閣 ホテルレイクサイドテラス","サウナ・温浴施設","HP: http://www.toyamanseikaku.jp/"
"saunacotan_sapporo","サウナコタンサッポロ","サウナ・温浴施設","HP: https://sauna-cotan.com"
"centurion_sapporo","ザ・センチュリオンサウナレスト&ステイ札幌","サウナ・温浴施設","HP: https://www.centurion-hotel.com/sapporo/"
"jasmacplaza","すすきの天然温泉 湯香郷","サウナ・温浴施設","HP: https://www.toukakyo.jp/"
"thegeek106","Kushiro Marshland Hostel THE GEEK","サウナ・温浴施設","HP: https://thegeek.jp/"
"koganeyu3","小金湯温泉 湯元 小金湯","サウナ・温浴施設","HP: http://koganeyu.jp/"
"ofurocafe.seiyukan","芦別温泉 おふろcafé 星遊館 (芦別温泉スターライトホテル)","サウナ・温浴施設","HP: https://ofurocafe-seiyukan.com/"
"milione.manseikaku","定山渓万世閣ホテルミリオーネ","サウナ・温浴施設","HP: https://www.milione.jp/"
"hot_spring_hotel_marukoma","奥札幌の秘湯 湖畔の宿支笏湖 丸駒温泉旅館","サウナ・温浴施設","HP: https://www.marukoma.co.jp/"
"fvillage_official","tower eleven onsen & sauna(エスコンフィールド)","サウナ・温浴施設","HP: https://www.hkdballpark.com/activity/10/"
"kiki_shiretoko","KIKI知床 ナチュラルリゾート","サウナ・温浴施設","HP: https://www.kikishiretoko.co.jp/"
"kitoushinomori_kitoron","キトウシの森きとろん","サウナ・温浴施設","HP: https://www.higashikawa-kitoron.jp/"
"gateauxkingdom_official","シャトレーゼ ガトーキングダム札幌","サウナ・温浴施設","HP: http://www.gateauxkingdom.com/pool-spa/"
"yuya_salmon","湯屋サーモン","サウナ・温浴施設","HP: https://yuya-salmon.wixsite.com/sento"
"hotelpotmum","POT SAUNA(HOTEL POTMUM)","サウナ・温浴施設","HP: https://www.potmumhotel.jp/?utm_source=gmbprofile&amp;utm_medium=meo&amp;utm_campaign=mybusiness"
"kyuujitsuyu","休日湯","サウナ・温浴施設","HP: https://www.kyuujitsu.com/"
"kangetsuen","十勝川温泉 観月苑","サウナ・温浴施設","HP: https://www.kangetsuen.com/"
"satonomori","里の森 森のゆ","サウナ・温浴施設","HP: http://www.satonomori.com/hot_spring"
"yuyado_daiichi","湯宿だいいち","サウナ・温浴施設","HP: http://www.yoroushi.jp/"
"konna_sauna","5737コンナサウナ","サウナ・温浴施設","HP: https://5737.jp/"
"itinoyu","新琴似温泉 壱乃湯","サウナ・温浴施設","HP: https://www.onsen-ichinoyu.com/"
"cabin_obihiro","プレミアホテル-CABIN-帯広","サウナ・温浴施設","HP: https://cabin.kenhotels.com/obihiro/"
"tsuruga_akan","あかん遊久の里 鶴雅","サウナ・温浴施設","HP: http://www.tsuruga.com/"
"noboribetsumanseikaku","登別万世閣","サウナ・温浴施設","HP: http://www.noboribetsu-manseikaku.jp/"
"cabin_asahikawa","プレミアホテル-CABIN-旭川 天然温泉かぐらの湯","サウナ・温浴施設","HP: https://cabin.kenhotels.com/asahikawa/"
"hotel_emisia_sapporo","リラクゼーション スパ・アルパ","サウナ・温浴施設","HP: https://www.hotel-emisia.com/sapporo/spa/"
"dormyinn.official","ラビスタ函館ベイ","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/lahakodate/"
"o.spa_otaru","小樽温泉 オスパ","サウナ・温浴施設","HP: http://www.otaruspa.com/"
"dansetsu_sapporo","暖雪 札幌","サウナ・温浴施設","HP: https://dansetsu.solarehotels.com/sapporo/"
"yayoinoyu0301","天然温泉やよい乃湯","サウナ・温浴施設","HP: http://yayoinoyu.com/"
"jozankei_view_hotel","定山渓ビューホテル","サウナ・温浴施設","HP: http://www.jozankeiview.com/"
"hotelmonterey","ホテルモントレエーデルホフ札幌 カルロビ･バリ･スパ","サウナ・温浴施設","HP: https://www.hotelmonterey.co.jp/edelhof/spa/"
"yuensapporo","ONSEN RYOKAN 由縁 札幌","サウナ・温浴施設","HP: https://www.uds-hotels.com/yuen/sapporo/"
"wix","晩成温泉","サウナ・温浴施設","HP: https://www.bansei-onsen.jp/"
"supersento1126","ココルクの湯","サウナ・温浴施設","HP: https://www.supersento.com/hokaidotohoku/hokaido/cocorucu.html"
"hoshutei.toyotei","十勝川温泉 第一ホテル","サウナ・温浴施設","HP: https://www.daiichihotel.com/"
"tokachi_sahoro_resort_official","サホロリゾートホテル","サウナ・温浴施設","HP: https://www.sahoro.co.jp/"
"midorinokaze_resort_official","緑の風 リゾート きたゆざわ","サウナ・温浴施設","HP: http://www.midorinokaze-resort.com/"
"manyoasahikawa","旭川高砂台 万葉の湯","サウナ・温浴施設","HP: http://www.manyo.co.jp/asahikawa/"
"takasago_onsen_official","高砂温泉","サウナ・温浴施設","HP: https://www.takasagoonsen.com/"
"hotelarco236","十勝ナウマン温泉ホテルアルコ","サウナ・温浴施設","HP: https://hotel-arco.jp/"
"toyasunpalace","洞爺サンパレス リゾート&スパ","サウナ・温浴施設","HP: http://www.toyasunpalace.co.jp/"
"kojohamaspahotelofficial","虎杖浜温泉ホテル (Kojohama Spa Hotel)","サウナ・温浴施設","HP: https://www.kojohama.net/?mobile=1"
"fukagawa_maabu","アグリ工房まあぶ","サウナ・温浴施設","HP: https://agri-studio-maabu.com/"
"kitamura_onsen","北村温泉ホテル","サウナ・温浴施設","HP: http://www.kitamuraonsen.com/"
"shinfuranoprincehotel","新富良野プリンスホテル 富良野温泉 紫彩の湯","サウナ・温浴施設","HP: http://www.princehotels.co.jp/newfurano/facility/onsen/"
"futomimeisen","ふとみ銘泉 万葉の湯","サウナ・温浴施設","HP: https://www.manyo.co.jp/futomi/"
"mountainman_sapporo","mountainman","サウナ・温浴施設","HP: http://www.mountainman-cr.com/"
"morinouta_jozankei","定山渓 鶴雅リゾートスパ 森の謌","サウナ・温浴施設","HP: http://www.morino-uta.com/"
"rio_hotels","ホテルグローバルビュー函館(旧 ホテルパコ函館)","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/hakodate/"
"tsukigata_onsen","月形温泉ゆりかご","サウナ・温浴施設","HP: http://tsukigataonsen-hotel.com/"
"hotel_paradise_hills","くりやま温泉 ホテルパラダイスヒルズ","サウナ・温浴施設","HP: https://hotel-parahill.com/"
"michinoeki_shinshinotsu","しんしのつ温泉 たっぷの湯","サウナ・温浴施設","HP: https://tappunoyuonsen.com/"
"s_gardenspa","札内ガーデン温泉","サウナ・温浴施設","HP: http://satsunai-g-onsen.sakura.ne.jp/"
"rio_hotels","ホテルグローバルビュー釧路 天然温泉 天空の湯(旧ホテルパコ釧路)","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/kushiro/"
"niseko_kamakura","sauna NALUQ","サウナ・温浴施設","HP: https://sauna-naluq.main.jp/"
"yukara.1129","びらとり温泉 ゆから","サウナ・温浴施設","HP: http://www.biratori-onsen.com/"
"daiheigen","ホテル大平原","サウナ・温浴施設","HP: http://www.daiheigen.com/"
"dan_0109_","ホテルめぐま","サウナ・温浴施設","HP: http://www.meguma.jp/"
"hoshinoresorts.tomamu","星野リゾート リゾナーレトマム","サウナ・温浴施設","HP: http://risonare.com/tomamu/"
"dormyinn.official","灯の湯 ドーミーインPREMIUM小樽","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/otaru/"
"tennenonsennagominoyu","苫小牧温泉 なごみの湯","サウナ・温浴施設","HP: http://www.nagominoyu.co.jp/"
"geimori_w_awesome","芸森ワーサム","サウナ・温浴施設","HP: https://w-awesome.com/"
"hotelkeipu","ホテル恵風","サウナ・温浴施設","HP: http://www.todohokke.jp/"
"artencamp_tomakomai","オートリゾート 苫小牧アルテン ゆのみの湯","サウナ・温浴施設","HP: http://www.dp-flex.co.jp/arten/yunomi/roten.html"
"greenpiaonuma","リブマックスリゾート函館  グリーンピア大沼","サウナ・温浴施設","HP: http://www.gp-onuma.com/"
"shiranuka_koitoikan","道の駅 しらぬか恋問館","サウナ・温浴施設","HP: https://michinoeki-shiranuka.jp/sauna/"
"fukuihotel.obihiro","帯広天然温泉 ふく井ホテル","サウナ・温浴施設","HP: https://www.fukuihotel.co.jp/"
"cafe_librapiano","サウナ アッセ・デ〜ル","サウナ・温浴施設","HP: https://www.librapiano.com/sauna_assede-ru/"
"ryokufu2018","しほろ温泉プラザ緑風","サウナ・温浴施設","HP: http://www.shihoro-spa.co.jp/index.html"
"hotelparkhills","ホテルパークヒルズ","サウナ・温浴施設","HP: http://www.biei-hotelparkhills.com/"
"kurazou2800","みついし昆布温泉 蔵三","サウナ・温浴施設","HP: http://kurazou.ambix.biz/"
"niikappuonsen","新冠温泉 レ・コードの湯 ホテルヒルズ","サウナ・温浴施設","HP: http://hotelhills.jp/"
"dormyinn.official","幣舞の湯 ドーミーインPREMIUM釧路","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/kushirogawa/"
"takikawafureainosato","滝川ふれ愛の里","サウナ・温浴施設","HP: https://takikawa-fureainosato.jp/"
"ryokan.sensyoen","和風旅館扇松園","サウナ・温浴施設","HP: http://www.sensyoen.co.jp/index.php"
"rushinonsen","うらほろ留真温泉","サウナ・温浴施設","HP: https://www.rushin.jp/"
"100days.kakigori","定山渓第一寶亭留 翠山亭","サウナ・温浴施設","HP: http://www.jyozankei-daiichi.co.jp/jyozankei/"
"erumukougen_official","赤平市 保養センターエルム高原温泉・ゆったり","サウナ・温浴施設","HP: http://akabira.net/onsen/"
"dormyinn.official","白樺の湯 ドーミーイン帯広","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/obihiro/"
"sunflowerpark_hokuryu","サンフラワーパークホテル","サウナ・温浴施設","HP: https://sunflower-park.com/"
"horoshin_onsen_hotarukan","ほろしん温泉ほたる館","サウナ・温浴施設","HP: http://www.horosin-onsen.com/"
"niseko_kashinoya","ニセコ カシノヤ -niseko KASHINOYA-","サウナ・温浴施設","HP: https://niseko-kashinoya.jp/barrel_sauna_de_totonou_at_kashinoya/"
"rusutsuresort_official","ルスツリゾートホテル ルスツ温泉 ことぶきの湯","サウナ・温浴施設","HP: https://rusutsu.com/onsen-wellness/kotobukinoyu"
"savebleu","冬のテントサウナ「SNOWY」in 北広島","サウナ・温浴施設","HP: https://savebleu.amebaownd.com/"
"dormyinn.official","ラビスタ富良野ヒルズ (ドーミーインチェーン)","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/furano/"
"dormyinn.official","常呂川の湯 ドーミーイン北見","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/kitami/"
"nanayu4411","天然温泉 七重浜の湯","サウナ・温浴施設","HP: https://www.hakobura.jp/spots/455"
"furukawa.nukumori_official","ぬくもりの宿 ふる川","サウナ・温浴施設","HP: http://www.yado-furu.com/"
