会社名,担当者名,メールアドレス,電話番号,URL,業種,ステータス,メモ
ニコーリフレ SAPPORO,,,011-261-0108,https://www.nikoh.info,サウナ・温浴施設,未着手,北海道
北こぶし知床 ホテル&リゾート,,e-mail@xxx.ne.jp,0152-24-2021,https://www.shiretoko.co.jp/,サウナ・温浴施設,未着手,北海道
森のスパリゾート 北海道ホテル,,,0155-21-0001,https://www.hokkaidohotel.co.jp/stay/hotspring.html,サウナ・温浴施設,未着手,北海道
定山渓 鹿の湯,,,011-598-2311,https://shikanoyu.co.jp/shikanoyu/,サウナ・温浴施設,未着手,北海道
GARDENS CABIN (ガーデンズキャビン),,,,https://sauna-ikitai.com/saunas/6182,サウナ・温浴施設,未着手,北海道
OMO7旭川(おも) by 星野リゾート サウナプラトー,,,0166-24-2111,https://omo-hotels.com/asahikawa/facilities/spa/,サウナ・温浴施設,未着手,北海道
ログホテル  ザ  メープルロッジ,,info@maplelodge.jp,0126-46-2222,http://www.maplelodge.or.jp/,サウナ・温浴施設,未着手,北海道
洞爺湖万世閣 ホテルレイクサイドテラス,,,0570-08-3500,http://www.toyamanseikaku.jp/,サウナ・温浴施設,未着手,北海道
登別温泉 登別グランドホテル,,,0143-84-2101,http://www.nobogura.co.jp/,サウナ・温浴施設,未着手,北海道
サウナコタンサッポロ,,,011-857-2626,https://sauna-cotan.com,サウナ・温浴施設,未着手,北海道
ザ・センチュリオンサウナレスト&ステイ札幌,,,011-206-9932,https://www.centurion-hotel.com/sapporo/,サウナ・温浴施設,未着手,北海道
すすきの天然温泉 湯香郷,,hotel@jasmacplaza.jp,011-513-8107,https://www.toukakyo.jp/,サウナ・温浴施設,未着手,北海道
ニュー阿寒ホテル,,,0154-67-2121,http://www.newakanhotel.co.jp/,サウナ・温浴施設,未着手,北海道
Kushiro Marshland Hostel THE GEEK,,support@thegeek.jp,015-487-2100,https://thegeek.jp/,サウナ・温浴施設,未着手,北海道
小金湯温泉 湯元 小金湯,,,011-596-2111,http://koganeyu.jp/,サウナ・温浴施設,未着手,北海道
芦別温泉 おふろcafé 星遊館 (芦別温泉スターライトホテル),,,0124-23-1155,https://ofurocafe-seiyukan.com/,サウナ・温浴施設,未着手,北海道
定山渓万世閣ホテルミリオーネ,,,0570-08-3500,https://www.milione.jp/,サウナ・温浴施設,未着手,北海道
天然温泉あしべ屯田,,,011-771-9111,http://acb-tonden.sakura.ne.jp/,サウナ・温浴施設,未着手,北海道
SPA&SAUNA オスパー,,,0166-25-3200,https://osper-sauna.com/,サウナ・温浴施設,未着手,北海道
奥札幌の秘湯 湖畔の宿支笏湖 丸駒温泉旅館,,,0123-25-2341,https://www.marukoma.co.jp/,サウナ・温浴施設,未着手,北海道
ひまわり温泉,,,0155-48-4238,http://himawari-morinosato.com/,サウナ・温浴施設,未着手,北海道
新千歳空港温泉,,,0123-46-4126,http://www.new-chitose-airport-onsen.com/,サウナ・温浴施設,未着手,北海道
天然温泉 大喜湯昭和店,,,0154-55-5558,http://www.taikiyu.com/,サウナ・温浴施設,未着手,北海道
tower eleven onsen & sauna(エスコンフィールド),,group_ticket@fighters.co.jp,050-3171-7525,https://www.hkdballpark.com/activity/10/,サウナ・温浴施設,未着手,北海道
KIKI知床 ナチュラルリゾート,,e-mail@xxx.ne.jp,0152-24-2104,https://www.kikishiretoko.co.jp/,サウナ・温浴施設,未着手,北海道
キトウシの森きとろん,,,0166-82-7010,https://www.higashikawa-kitoron.jp/,サウナ・温浴施設,未着手,北海道
岬の湯 しゃこたん,,,0135-44-3830,https://shakotango.jp/,サウナ・温浴施設,未着手,北海道
湯処花ゆづき,,,011-633-4126,http://www.hanayuzuki.jp/,サウナ・温浴施設,未着手,北海道
シャトレーゼ ガトーキングダム札幌,,,011-773-3311,http://www.gateauxkingdom.com/pool-spa/,サウナ・温浴施設,未着手,北海道
湯屋サーモン,,,011-669-1004,https://yuya-salmon.wixsite.com/sento,サウナ・温浴施設,未着手,北海道
湯の郷 絢ほのか,,,011-881-2686,https://www.yudokoro-honoka.jp/kiyota,サウナ・温浴施設,未着手,北海道
ニュー銀座サウナ,,,080-2144-3337,https://twitter.com/ginzasauna621,サウナ・温浴施設,未着手,北海道
つきさむ温泉,,info@tsukisamu.com,011-855-4126,http://www.tsukisamu.jp/,サウナ・温浴施設,未着手,北海道
苗穂駅前温泉 蔵ノ湯,,,011-200-3800,http://kuranoyu.com/,サウナ・温浴施設,未着手,北海道
JRタワーホテル日航札幌 スカイリゾートスパプラウブラン,,,011-251-6366,http://www.jrhotels.co.jp/tower/spa/,サウナ・温浴施設,未着手,北海道
POT SAUNA(HOTEL POTMUM),,,0000001101,https://www.potmumhotel.jp/?utm_source=gmbprofile&amp;utm_medium=meo&amp;utm_campaign=mybusiness,サウナ・温浴施設,未着手,北海道
休日湯,,,00000000000,https://www.kyuujitsu.com/,サウナ・温浴施設,未着手,北海道
十勝川温泉 観月苑,,,0155-46-2001,https://www.kangetsuen.com/,サウナ・温浴施設,未着手,北海道
青の洞窟温泉 ピパの湯 ゆ〜りん館,,,0126-64-3800,http://yu-rinkan.com/,サウナ・温浴施設,未着手,北海道
里の森 森のゆ,,,011-375-2850,http://www.satonomori.com/hot_spring,サウナ・温浴施設,未着手,北海道
SAUNA Otaru arch,,,050-8883-4137,https://otaru-arch.jp/,サウナ・温浴施設,未着手,北海道
十勝しんむら牧場 ミルクサウナ,,,,https://milkjam.net,サウナ・温浴施設,未着手,北海道
湯宿くったり温泉レイクイン(北海道アヴァント),,,0156-65-2141,http://www.lakeinn.jp/,サウナ・温浴施設,未着手,北海道
湯宿だいいち,,,0153-78-2131,http://www.yoroushi.jp/,サウナ・温浴施設,未着手,北海道
知内温泉,,,,https://shiriuchionsen.com/,サウナ・温浴施設,未着手,北海道
屈斜路湖サウナ倶楽部,,,050-3171-8597,https://kussharoko.com,サウナ・温浴施設,未着手,北海道
5737コンナサウナ,,kon@jukeikaku.com,0155-66-7807,https://5737.jp/,サウナ・温浴施設,未着手,北海道
